1466 2204 44460 Greystones, Ireland
2113 1909 114953 Palmerston North, New Zealand
1314 2899 194344 Tegucigalpa, Honduras
261 1761 19693 Shreveport, LA
565 1795 70778 Byron Center, MI
2239 1935 122709 Prince Frederick, MD
1964 2103 13710 Moroni, Comores
1600 1111 182119 Connersville, IN
826 2447 187264 Alamogordo, NM
659 827 73490 Riyadh, Saudi Arabia
2082 1823 148479 Boardman, OH
2822 386 126764 Seattle, WA
2421 1340 122649 Nazareth, Israel
743 1695 7373 Yonkers, NY
1712 646 172460 Plymouth, IN
1787 2483 123905 Sendai, Japan
469 1015 196509 Quakertown, PA
1981 74 64643 Tbilisi, Rep. of Georgia
1653 651 112281 Holland, PA
1317 242 28056 Marshall, TX
1311 1735 129648 Thousand Oaks, CA
2365 1510 180403 Gibraltar, UK
2890 1492 160234 Buffalo, NY
1241 2888 129701 Taralgon, Australia
1960 2924 199104 Whitby, England
2665 2527 171124 Lecce, Italy
1343 827 194664 Khancoban, Australia
2500 2128 145829 Sochaczew, Poland
1428 2252 161060 Bridgeport, CA
2348 2008 50665 Conyers, GA
1385 2394 130626 Waverly, NY
1294 2353 28793 Pune (Poona), India
1726 650 161976 Kaposvr, Hungary
2071 1518 20652 Ingolstadt, Germany
1977 2482 148941 Roy, UT
725 2127 106936 Pinckney, MI
1787 1190 107077 Houghton, MI
2202 521 25850 Peekskill, NY
594 1427 195810 Grayslake, IL
1518 1000 105904 Gomer, OH
718 1988 3099 Abilene, TX
2814 2227 93135 Tunis, Tunisia
1913 2352 193738 Altoona, PA
2993 1498 77078 Kapfenberg, Austria
880 1973 104671 Emporia, VA
193 662 30047 Wartburg, TN
1958 2031 153710 LaPorte, IN
2323 2921 41295 Waco, TX
1809 2488 86857 Shallowater, TX
1984 1572 74147 Ciudad Guayana, Venezuela
2276 150 144463 Manteo, NC
1341 307 171344 Amsterdam, Netherlands
1029 1484 50510 Watford, England
2765 1110 126509 Woodstock, ONT, Canada
2255 2730 30620 Fordham, England
1710 601 161179 Winslow, NJ
1807 2640 181132 Southfield, MI
2232 2378 49212 Maplewood, MN
843 1326 169744 Vsters, Sweden
987 2297 125666 Rajahmundry, Pradesh, India
1946 1130 113527 Guatemala City, Guatemala
2471 1013 31431 Princeton, NJ
909 254 72476 Amherst, WI
1638 163 25753 Roanoke, VA
1962 359 10419 Dallas, TX
1008 2548 16525 Amery, WI
632 347 35646 Rodgau, Germany
2252 602 20069 Salida, CO
1582 360 113534 Loxahatchee, FL
1151 2158 63252 Roseville, CA
1737 2070 29297 Green Bay, WI
1378 2706 112201 Keswick, ON, Canada
303 325 138010 Florence, AL
2804 1268 52743 Annapolis, MD
2201 2658 179691 Antwerp, Belgium
1334 2524 187245 Delray Beach, FL
1806 2878 150487 Jacksonville, NC
2040 1976 7208 Schaumburg, IL
2650 1600 104375 Stephentown, NY
1076 2667 87201 Hermiston, OR
142 184 32998 Freeland, PA
208 2585 174946 Saint Louis, MS
1493 2170 193783 Lappeenranta, Finland
602 396 38878 Lamar, MO
1942 1949 125382 Tampa, FL
2538 2778 143301 Rochelle Park, NJ
2023 435 87100 Biloxi, MS
1310 1090 83433 Industry, PA
541 2073 65267 Huntsville, ON, Canada
2556 344 141581 Kaunakakai, Molokai, HI
231 2046 143060 Veracruz, Mexico
1462 1861 105939 Ste. Rose, Family Reunion
1113 1625 65927 Iowa Park, TX
1223 335 120113 Chittagong, Bangladesh
1902 1833 114088 Wilton, CT
1468 2717 17932 Cobram, Australia
891 1440 115904 Fraser, MI
2469 1496 55589 Marshville, NC
1958 99 75083 Otego, NY
1865 1971 10804 Lehighton, PA
2381 631 121572 Guelph, ONT, Canada
1776 1306 114647 Akron, OH
2381 2092 137433 Turners Falls, MA
2054 2679 46232 Plano, TX
405 1498 162135 Tirana, Albania
871 284 136858 Albany, NY
2123 1591 78200 Tainan, Taiwan
281 787 18648 Ithaca, NY
1452 118 80959 Bandar Seri Begawan, Brunei
1815 446 54112 Westover, PA
2922 2761 40527 Bauru, Brazil
1064 2450 44139 Pottsville, PA
928 2247 43778 Eastport, ME
1066 220 190404 Enfield, CT
463 2897 27313 Holzkirchen, Germany
935 1773 184062 Bacolod, Philippines
386 2939 69617 Homs, Syria
2043 698 199407 Gladwin, MI
2111 2219 110422 Patos de Minas, Brazil
1698 1246 166732 Springfield, VA
2444 2612 77351 Galveston, TX
1529 657 75085 Huy, Belgium
1000 2902 116011 Mitchell, IN
1863 1157 122353 Hamilton, OH
244 2521 18778 Saint Catherines, ON, Canada
422 1670 29237 Delphos, KS
2509 1430 15552 Faringdon, England
2877 2486 118857 Red Bluff, CA
2362 2986 18951 Hagerstown, MD
1401 2242 33892 Anniston, AL
383 360 61095 Mentor, OH
56 2427 58615 Carol Stream, IL
251 859 160198 Thetford-Mines, QU, Canada
1427 877 91371 Soperton, GA
222 2785 67647 Arnold, CA
2758 1947 55812 San Salvador, El Salvador
816 2937 31746 Laverton, W.Australia
568 1764 69138 Newtown, PA
416 1400 104839 Tiet, Brazil
1598 2307 81345 Northampton, MA
1815 1718 144993 San Clemente, CA
434 246 186805 Cleveland, OH
1311 2073 126898 Bowman, GA
1212 263 29929 Eeklo, Belgium
538 1190 73973 Sanborn, NY
1627 1007 16228 Kearney, ONT, Canada
454 1642 109362 Linwood, NJ
1443 2177 82253 Desert Hot Springs, CA
2165 433 147633 Port Deposit, MD
975 1938 137338 Gulf Breeze, FL
1170 1492 136105 Tolland, CT
2931 606 115687 Tamworth, England
2456 149 146044 New Brockton, AL
1782 167 156519 Columbus, IN
1623 1275 29417 Lawrence, MA
532 1289 150419 Zwijndrecht, Netherlands
956 2140 67313 Concord, NH
673 24 171317 Cathey's Valley, CA
208 1854 172200 Deauville, PQ, Canada
436 2252 117869 S-Volvoland, Norway
1230 2652 35739 Durham, England
71 1429 101786 Paris, France
2702 1669 37425 Szeged, Hungary
2361 2522 90601 Mandeville, LA
2983 2091 72871 Sedalia, MO
1834 1630 179925 Usolje-Sibirskoie, Russia
2374 2115 37458 Winter Haven, FL
2232 2961 198564 Saint Joseph, MI
339 1718 1222 Dayton, OH
1104 922 178275 Cabot, AR
1468 1165 93873 Ashland, WI
169 917 73261 Santa Luca, Uruguay
1459 376 12884 Eastbourne, England
2919 89 152819 Lockport, IL
72 612 155006 Wilbraham, MA
1927 1824 59299 Clinton, IA
891 169 98906 Mount Airy, NC
2061 367 31490 Cassville, MO
2034 2843 1013 Macon, GA
2855 1730 88375 Redwood City, CA
2306 2453 65741 Alexander City, AL
1314 1502 56614 Saint Louis, MO
881 1494 92571 Mbabane, South Africa
562 1851 56202 Rennes, France
1307 2931 154325 Chicago, IL
592 2604 196984 Mantes-la-Jolie, France
1629 1104 120864 Kolding, Denmark
2135 1582 99208 Westminster, CA
1189 1581 26287 Stuart, FL
949 1277 114199 Winchester, England
1232 1054 118688 Hopewell Junction, NY
1626 1250 29770 Sandefjord, Norway
2420 722 171458 Bristol, England
1000 1280 195178 Wellborn, FL
1877 1669 3127 Blenheim, New Zealand
1593 866 189006 Vila Velha, ES, Brazil
2314 2784 98777 McAllen, TX
3 1843 141813 Greenfield, IN
1091 1124 189920 Sidney, BC, Canada
1842 2349 84424 Effingham, IL
1571 1801 74434 Lewes, DE
2313 1283 142932 Yorktown Heights, NY
2260 1748 21119 Belle Mead, NJ
1299 2099 32044 Red Wing, MN
1391 1132 128955 Vancouver, WA
2893 1625 43752 Kharkov, Ukraine
281 2179 72826 Shepparton, Australia
46 580 23009 Witten, Germany
1030 364 59039 Guayaquil, Ecuador
240 2026 186760 Augsburg, Germany
2314 1013 50511 Grenoble, France
1067 2653 138548 West Chester, PA
2002 955 117166 Aachen, Germany
580 1195 168382 Yreka, CA
1750 2295 82342 Englishtown, NJ
949 2240 161834 Nykping, Sweden
1762 297 61178 Berkeley, CA
2408 2799 21566 Georgetown, TX
851 71 51282 The Pas, MN, Canada
17 2921 36000 Kiev, Ukraine
289 973 38942 Tiverton, RI
1500 1956 45996 Adelaide, Australia
2848 2200 48882 Tweed Heads, Australia
68 2279 120801 Charlotte Amalie, US Virgin Islands
690 245 60434 Lewisville, TX
2787 1977 113053 Foxworth, MS
2969 2982 58451 China Lake, CA
2943 411 28435 Muncie, IN
1958 373 98009 Moscow, ID
2730 1338 6727 Tubingen, Germany
1370 2528 4222 Amiens, France
623 1660 40475 Florence, Italy
1906 1834 50668 Brescia, Italy
135 184 20475 Lubbock, TX
2996 2924 143913 Jena, LA
2663 2718 24520 Brevard, NC
1280 478 77007 Guantanamo Bay, Cuba
2876 2654 161625 North Platte, NE
759 17 168168 Mastic, NY
1565 1345 77085 stersund, Sweden
2739 370 167302 Senftenberg, Germany
2982 1876 51052 Belfast, N. Ireland
468 1542 37084 Burleson, TX
1773 1375 177698 Luton, Bedfordshire, England
2058 2077 195103 Caro, MI
2934 2631 74705 Eupen, Belgium
1083 1775 160362 Saint Gallen, Switzerland
1265 2722 113550 Annandale, MN
2534 2034 52857 Manteca, CA
232 1319 176835 China Spring, TX
1448 635 79535 Shelby, NC
1385 2379 105310 Hardy, AR
509 1184 90938 Bennington, VT
71 821 163996 Rolling Prairie, IN
504 733 152609 Lewes, England
405 1222 88101 Kiruna, Lapland/Sweden
1422 2212 20841 Libertyville, IL
1007 1282 1935 Marab, Brazil
2739 808 167251 Seven Mile, OH
1423 1557 194490 Mount Carmel, IL
1538 698 1016 Reidsville, NC
237 662 51394 Arkansas City, KS
183 466 73978 Tahoe City, CA
1613 1175 176209 Yampi Sound, W.Australia
234 2016 82853 Sukabumi, Indonesia
1382 424 129618 Port Isabel, TX
818 2735 2373 Allentown, PA
705 482 161464 Arlington, NE
1398 264 139959 Somers, CT
2264 1603 30224 Jackson, MS
2786 695 194176 Madison, FL
164 1928 67258 Peoria, IL
870 1555 190046 Harrison, TN
1896 562 197433 Sturgis, KY
645 143 83345 Port Huron, MI
1365 1694 124063 McPherson, KS
689 1136 67814 Boyne City, MI
1613 926 167113 Santa Fe, NM
700 2148 187120 Cartago, Colombia
172 788 78352 Houma, LA
1877 2707 56675 Southfield, MA
713 2081 196416 Duxbury, MA
5 168 161354 Medling, Austria
618 261 4633 Millis, MA
59 729 52339 Wilderness, South Africa
389 1183 172518 Middletown, CT
551 132 144471 Piraeus, Greece
1169 2532 53116 Rostov-na-Donu, Russia
1533 1488 150731 Pocahontas, AR
2327 1512 57623 Springfield, OH
2954 1444 43091 Toms River, NJ
2321 1493 182131 Puerto Peasco, Mexico
1539 2824 31068 Neenah, WI
1398 1928 152032 Austin, MN
326 1818 139086 Roosendaal, Netherlands
744 979 36513 London, England
1529 2658 18388 Myrtle Beach, SC
987 605 103755 Wantagh, NY
1709 1540 127405 Edgewood, MD
1273 1709 182476 Page, AZ
1851 2254 133825 Ume, Sweden
412 252 103477 Willow Grove, PA
997 2723 154822 Wingate, NC
30 2983 53985 Northridge, CA
1876 80 183772 Dorking, England
88 1835 40494 Bridgewater, NS, Canada
2476 183 5467 New Johnsonville, TN
2368 940 157940 Burbank, CA
287 909 43188 Szekszrd, Hungary
2934 1979 56647 Pueblo, CO
2876 1753 144102 Bonham, TX
460 360 102622 Andersen AFB, Guam
2140 895 153555 Castle Rock, CO
851 412 55938 Rio Claro, SP, Brazil
2 2261 121666 Norfolk, NE
2655 273 167235 Reedsburg, WI
338 592 190222 Rancho Santa Margarita, CA
960 2422 35243 Natal, Brazil
2701 1937 108568 Cary, NC
1449 2441 185644 Hull, England
1001 303 161979 Townsend, MA
2305 2454 97139 Winfield, KS
1826 1938 103699 Recife, Brazil
1041 2917 10721 Len, Gto. Mexico
1320 1915 40643 Brownsburg, IN
1414 1317 50185 Lycksele, Sweden
2705 1626 107369 Beulaville, NC
1740 410 95780 Northampton, PA
1542 871 126222 Saint Croix, US Virgin Islands
2139 2363 31481 El Paso, TX
2743 1007 94430 Freiburg, Germany
358 328 51132 Heidelberg, Germany
352 1778 112393 Jerome, ID
2173 2132 39042 Mount Baldy, CA
2815 1908 66448 Sonderborg, Denmark
1009 755 54064 Haifa, Israel
2368 2249 138706 Oak Ridge, NJ
2996 1312 55615 Richmond, IL
2962 309 88239 Pamplona, Spain
640 2626 111914 Vidalia, GA
1033 1067 27077 Cheyenne, WY
1174 322 95948 Burnsville, NC
1150 1837 163164 Fayetteville, AR
939 1442 64163 Minooka, IL
444 2567 117861 Bozen/Bolzano, Italy
2435 2367 17362 Somersworth, NH
1984 2992 14923 North Wilkesboro, NC
1028 1450 33816 Fort Collins, CO
1790 1459 102392 Biarritz, France
1477 54 51714 Pikeville, KY
2364 2162 132523 Polk City, FL
352 204 79262 Mayfield, KY
607 410 56666 West Lafayette, IN
2036 2470 122477 Russellville, AR
1000 163 104435 Darien, CT
1881 616 47443 Amesbury, MA
2347 2191 60674 Woodstock, GA
1946 462 164284 Hanover, PA
2422 2511 145479 Toulouse, France
2102 936 30374 Tybee Island, GA
2261 397 69056 Goose Bay, NF, Canada
1799 584 138473 Ellensburg, WA
2180 2354 9437 Joplin, MO
1912 616 71495 Gundelfingen, Germany
672 1472 47825 Durant, OK
1396 1675 187306 Wall, SD
1634 793 128008 Trondheim, Norway
2523 1564 35318 Rock Springs, WY
1943 405 163013 Funchal, Madiera, Portugal
182 933 48983 King, NC
2529 1513 10708 Redlands, CA
584 428 120585 Preston, LCS, England
1478 1835 19924 Livorno, Italy
2942 479 90921 La Grange, MO
2671 2904 60047 Warroad, MN
1628 1890 25092 Cocklebiddy, W.Australia
13 2605 145373 Tartu, Estonia
1836 2680 197241 Bristol, TN
927 87 99023 Elberta, AL
504 884 93660 Flagstaff, AZ
283 1383 46331 Malmesbury, England
2587 1240 119921 Norwich, England UK
1004 1881 186780 Luxembourg, Luxembourg
2317 2336 80140 Edwards AFB, CA
2070 2166 88527 Reutlingen, Germany
247 1285 169145 Clinton, IL
1353 107 40903 Zurich, Switzerland
1020 522 105555 Ljubljana, Slovenia
1760 301 7748 Duluth, MN
2058 1698 132049 Highland, IN
376 786 137387 Martinez, CA
1410 1136 81780 Westminster, CO
1842 70 155718 Louisville, KY
2465 2259 176360 Banjul, Gambia
2451 2316 62086 Walsall, England
2516 2348 35343 Johnstown, PA
2823 2288 195766 Franklin, NC
97 743 37425 Iquitos, Peru
594 23 183799 Winfield, IL
1059 1434 168064 Crystal Falls, MI
2826 2411 42174 Wrexham, Wales, UK
65 2892 107953 Richmond Hill, ON, Canada
823 922 150739 Frankfurt/M., Germany
1501 197 47739 Washington, MO
1413 549 79451 Osan, South Korea
2557 1093 85898 Oldcastle, Ireland
1126 2024 174895 Salem, NH
1241 2946 151345 Knoxville, TN
1779 913 114157 Munich, Germany
2677 2012 115525 Tokyo, Japan
655 2914 48868 Eksj, Sweden
913 2884 185756 Provo, UT
1500 1332 167597 Hamburg, NY
357 412 43615 Highland, IL
2613 1640 14024 Canvey Island, England
1307 1096 85915 Hant's Harbour, NFLD, Canada
1487 1119 7546 Merritt, BC, Canada
2373 143 46571 Manchester, CT
1242 2705 199923 Kodiak, AK
585 1356 144876 Zeist, Netherlands
1607 1586 187450 Inwood, IA
832 1506 182909 Iwakuni, Japan
979 1163 103430 Harrisburg, PA
1657 1668 122295 Tunkhannock, PA
337 2321 39523 Williamston, SC
206 657 178523 Campinas, Brazil
721 2696 111711 Grand Haven, MI
1518 2735 38501 Jesup, GA
2104 558 117010 Belle Isle, FL
1206 1951 115525 Jerusalem, Israel
2802 2428 174318 Marseille, France
2758 1060 194468 Judenburg, Austria
1954 1595 59381 Richmond, VA
610 2819 143319 Temecula, CA
1780 2839 88203 Walldorf, Germany
1529 466 163817 Carlsbad, CA
477 1921 85694 Fayetteville, TN
1884 1873 167979 Bordentown, NJ
2954 1648 172971 Rocky Mount, NC
187 12 4992 Gliwice, Poland
8 231 126460 Palatine, IL
1052 458 38479 San Marcos, CA
1467 1304 63129 Chillicothe, MO
1553 2176 9015 Holyoke, MA
1212 2340 66588 Lincoln, ME
1138 730 86037 Mountain Top, PA
675 426 98109 Portage-la-Prairie, MN, Canada
1136 1710 52341 Bremen, Germany
2421 1213 43301 Bloemfontein, South Africa
231 1659 68970 Paia, HI
2483 2676 138890 L'Aquila, Italy
2824 1785 129962 Harrison, AR
5 1286 118681 Davenport, IA
436 1350 160558 Portland, ME
989 610 64432 P'ohang, South Korea
1416 193 142556 Phoenixville, PA
3000 911 161144 The Woodlands, TX
928 2279 102323 West Point, GA
444 2932 135036 Waterloo, Belgium
2959 610 36393 La Tuque, Canada
303 1422 134245 Sierra Vista, AZ
2909 574 68739 Odessa, Ukraine
547 1541 93740 Peterborough, England
136 2339 58007 Hannibal, MO
1409 565 107285 Wayne, NJ
1135 1652 160135 Wiesbaden, Germany
2388 1239 22336 Tehachapi, CA
490 361 195026 Grove, PA
1661 1610 137134 Newmarket, England
428 508 185809 Gloversville, NY
190 558 164652 Benalla, Australia
1797 530 161364 Raymond, NH
1427 1642 121358 Wausau, WI
1987 2963 69777 Saint Charles, MI
1624 110 13812 Westlock, AL, Canada
1552 1831 193739 West Fargo, ND
678 1762 66567 Eagle River, MI
1442 547 180179 Port Richey, FL
1458 173 109721 Wells, England
386 1360 126884 Cambridge Bay, NWT, Canada
2258 489 17602 Pittsfield, IL
1771 1804 122440 Warren, OH
2901 2476 82503 Bowmanville, Canada
1910 812 21169 Beavis, QU, Canada
139 1336 163039 Wilmington, VT
2908 2239 123373 Boise, ID
1321 1216 38376 Rapid City, SD
1495 268 104456 Arica, Chile
1635 2268 68873 Greenville, KY
2915 1761 176550 Montezuma, KS
1895 464 98184 Fredericton, Canada
2106 2305 108214 Freshwater, Isle of Wight, England
377 1572 38487 Simrishamn, Sweden
649 1062 121095 Suva, Fiji Islands
597 2761 189054 Chapel Hill, NC
2988 2585 172471 Lleida, Spain
517 59 135720 Dandenong, Australia
2597 722 78568 North Bay, ONT, Canada
42 2294 21342 Bristol, CT
723 2084 129784 Exeter, England
2861 1360 76932 Pagosa Springs, CO
1962 72 53266 Moab, UT
348 2867 133496 Kyoto, Japan
2349 2120 86435 Columbia, SC
306 2126 24427 Winsen (Luhe), Germany
732 413 175818 Alexandria, Egypt
1107 156 115455 Santiago de Queretaro, Mexico
2706 1931 87679 Moultrie, GA
2628 2239 141040 Brentwood, CA
212 2715 20302 Littleton, CO
2819 236 147123 Tiffin, OH
238 2873 15522 Manizales, Colombia
2327 2597 123423 York, PA
841 1561 8999 Xenia, OH
261 760 131386 Allen Park, MI
561 2817 1030 Paderborn, Germany
2346 1454 76738 Lewiston, MN
2960 887 148635 Braunschweig, Germany
1502 2421 106626 Summit, NJ
2470 1464 1661 Valognes, France
2340 606 128914 Dubai, United Arab Emirates
2303 356 151779 Hilo, HI
707 957 131321 Grand Rapids, OH
2087 2488 142572 Mesquite, TX
1160 1849 142898 Toowoomba, QLD, Australia
342 1651 5435 Hof, Germany
2105 1880 167206 Ojai, CA
2826 2233 86333 Conway, AR
474 524 1954 Lakemoor, IL
2352 1123 81404 Hornbrook, CA
531 1211 68930 Irvine, CA
477 2321 23111 Schenectady, NY
568 2000 35730 Asuncion, Paraguay
2756 2869 139864 Rogers, AR
2902 110 188541 Luzerne, Switzerland
2345 725 34571 Lexington, NC
587 2463 161556 Andros Island, Bahamas
443 765 73356 Sabadell, Spain
2435 1560 73315 Solothurn, Switzerland
502 56 188678 Grants, NM
71 662 85229 Kampala, Uganda
2373 1665 155271 Euless, TX
1939 28 157445 Sheffield, England
1287 1327 176745 Herrin, IL
2810 2477 159083 Vrnamo, Sweden
1573 1089 21585 Mont Alto, PA
2515 806 185790 Fairfield, IA
2744 2699 85567 Kimberley, BC, Canada
1308 409 88110 Ely, England
1546 369 122300 Springfield, MA
1170 893 95345 Corvallis, OR
1233 1491 140685 Dahlonega, GA
210 915 146691 Gardiner, ME
1546 2184 39377 Norfolk, VA
2859 1039 86096 Snellville, GA
1869 2015 94219 Sintra, Portugal
2630 1683 136790 Charlotte, NC
2616 759 99428 Wheeling, WV
1262 82 4199 Kingston, Jamaica
1815 1271 39580 Bochum, Germany
33 2017 168114 Ridgecrest, CA
2234 2183 90061 Grimsby, England
2809 81 15927 Kristianstad, Sweden
2319 601 154400 Pilot Point, TX
1260 2879 40480 Denver City, TX
2077 180 93198 Reading, PA
337 1697 7920 Hssleholm, Sweden
949 2291 65405 Laramie, WY
321 410 18126 Baltimore, MD
2073 1327 158394 Thessaloniki, Greece
1337 2948 78240 Hudson, OH
2274 903 185984 Stewartsville, NJ
851 1511 132140 Fullerton, CA
463 1813 153530 Gainesville, FL
2975 2072 177448 Penang, Malaysia
1510 449 31245 Miercurea-Ciuc, Romania
1717 1225 187791 Sioux Center, IA
2857 2140 101606 Montclair, NJ
2546 2100 5692 Jekyl-n-Hyde, Finland
2253 2024 92295 Concordia, Argentina
573 1509 82661 Beanblossom, IN
1048 1760 72217 Waynesville, OH
106 1049 87592 Lecco, Italy
151 1454 116304 Washington, NJ
1935 1181 54213 Conneaut, OH
276 809 143502 Long Beach, NY
2817 1753 29997 Gimo, Sweden
2416 2225 188718 Yucca Valley, CA
1783 2079 114369 Jacksonville, AL
1040 2096 156819 Rahway, NJ
369 2493 199044 Loughborough, England
1622 1057 175794 Kropp, Germany
2905 815 47613 Birmingham, England
1935 2272 199666 Wilmington, OH
2405 2330 67302 Esperance, W.Australia
1696 285 102923 Archer, FL
2993 2593 148694 Coldwater, MI
615 1545 10609 Reelsville, IN
1749 1985 38793 Madras, India
1772 439 104966 King's Lynn, England
678 473 121923 Longmont, CO
184 501 144812 West Plains, MO
12 1780 166973 Plainfield, IL
1265 239 22076 Riverside, CA
1788 2339 135813 New Tripoli, PA
1071 1519 101130 Gallup, NM
443 2528 50230 Brownsville, TX
1900 1707 58026 Gilbertsville, KY
2722 1298 9337 La Coruna, Spain
390 2451 113660 Ozark, IL
1366 327 1614 Greeneville, TN
625 648 57650 Londonderry, Northern Ireland
2324 269 47236 Dryden, ON, Canada
1141 1675 30972 Merritt Island, FL
2219 2900 29508 Berkley, MI
976 2830 73419 Evesham, England
2911 168 98162 Long Branch, NJ
1853 1500 88225 Philadelphia, PA
719 2465 26198 Springs, NY
2137 108 112020 Groningen, Netherlands
2757 26 76985 Onancock, VA
173 1205 87536 Watrous, Canada
854 1467 185423 Cali, Colombia
1017 836 6700 Kempen, Germany
481 945 66928 Ustica Island, Italy
1154 2044 88825 San Andreas, CA
1868 903 76526 Castlegar, BC, Canada
153 2641 199719 Brewster, NY
1495 1350 120870 Gordonsville, VA
1709 2146 84134 Las Vegas, NV
799 2256 193997 Roanoke, TX
2203 1616 171122 Bedford, IN
1733 117 157061 Wailuku, Maui, HI
1335 2771 140352 Fort Worth, TX
1970 2107 130213 Oranjestad, Nethrlds. Antilles
1149 2574 129145 Whitby, Canada
673 2202 191474 Rastede, Germany
2506 47 75779 El Dorado, KS
2835 2008 69035 Laval, France
864 1895 103339 Gunnison, CO
2400 1270 73560 Milwaukee, WI
2043 112 158274 South Hadley, MA
2318 369 175703 Rockhampton, Australia
536 1125 109903 Waterbury, CT
1933 651 140421 Grand Prairie, TX
840 1666 130684 Morrisville, PA
2983 176 98668 Rangoon, Myanmar
1421 1445 126536 Lufkin, TX
1707 2776 145432 Joo Pessoa, Brazil
1255 869 92662 Atlanta, GA
723 1545 182063 Broome, W.Australia
962 1690 6362 Wilmette, IL
1195 1702 168193 Eagle Creek, OR
2861 367 84694 Canadian, TX
2753 748 187240 Lowell, MA
1197 1799 147225 Marissa, IL
526 192 112359 Laguna Niguel, CA
742 2170 197258 Copenhagen, Denmark
1183 2131 163434 Melbourne, Australia
2347 13 117227 Valletta, Malta
469 1113 193141 Port Sydney, ON, Canada
2953 2760 83461 Statesboro, GA
915 2128 53200 Mountain View, CA
403 2075 193827 Havre, MT
1334 578 90077 Keene Valley, NY
675 2736 131755 Marienville, PA
2229 735 177504 Newport Beach, CA
1256 1386 151584 College Park, MD
1818 2993 111526 Newport, OR
1537 732 3594 Wetumpka, AL
1396 2147 45043 Norwich, CT
2473 2668 140233 Lakewood, CO
473 212 151640 Las Vegas, NM
1495 1832 188575 Belsingborg, Sweden
498 1637 93180 Balve, Germany
2041 2588 12743 Alexandria, LA
388 1912 108300 Killingly, CT
92 1459 87527 Fort Pierce, FL
1623 2077 159188 Thurso, Scotland, UK Tianjin, China
1761 1145 132076 Becket, MA
1480 1690 92020 Halle/Saale, Germany
2260 863 67107 Aberdeen, NC
297 760 129139 De Land, FL
864 635 47155 Lac La Biche, AB, Canada
2581 2577 8821 Clemson, SC
2229 1563 21605 Reykjavik, Iceland
2961 2424 20645 Bristol, VA
2436 2815 180339 Muskegon, MI
2082 2931 170991 Isen, Germany
2181 2003 115616 La Grande, OR
2993 576 63812 Waterford City, Ireland
1001 1211 55462 Trieste, Italy
1846 1212 197952 Chelsea, MI
921 1122 61606 Windsor, ON, Canada
2251 2387 149206 Berlin, NH
2965 2279 81909 Bremerton, WA
2504 1557 142966 Delft, Netherlands
1178 1620 106161 Venice, FL
2770 894 9566 Portsmouth, NH
2760 879 191942 Jaen, Spain
670 2808 133814 Mississauga, ON, Canada
314 2500 2655 Vernon, NJ
1388 1697 79914 Hasbrouck Heights, NJ
2911 1224 70572 Holmen, WI
1409 2492 95547 Matera, Italy
2240 2900 44657 Batesville, MS
60 52 29390 Derby, England, UK
2461 2443 155122 Audubon, IA
1829 109 85735 Cedar Rapids, IA
2303 1093 36637 Kwajalein, Marshall Islands
1029 2234 186080 Rowley, MA
2868 2982 55925 Willits, CA
698 1052 124065 Newmarket, ON, Canada
1370 2726 32584 Penticton, BC, Canada
1963 697 68941 Cloverdale, CA
557 545 46987 Victoria, BC, Canada
1391 255 77671 Tallahassee, FL
1104 217 61610 North Hollywood, CA
2082 2535 169948 Kenosha, WI
834 288 76812 Havana, Cuba
2714 2321 169485 Stevenage, England
680 2356 130784 Fountain Valley, CA
1641 1895 149261 Sparta, WI
2260 2360 90555 Tel Aviv, Israel
2180 1732 108741 Del Rio, TX
2462 1648 128223 Clearfield, UT
614 144 190901 Brockton, MA
2315 46 41892 Owatonna, MN
363 337 157087 Bella Vista, Argentina
2968 2037 63592 Izmir, Turkey
2764 2134 67192 Ozark, AL
815 1007 154803 Rieti, Italy
2356 1069 114432 Warwick, England
950 2679 109422 Seneca Falls, NY
2071 1185 178140 Wilson, NC
1711 521 64778 Cortland, NY
350 1050 77126 Westville, IN
266 2855 11767 Baghdad, Iraq
2079 490 133375 Marquette, MI
1868 2189 124733 Eerbeek, Netherlands
2450 2694 37026 Pensacola, FL
2321 363 40352 Centerville, IA
2235 1634 23657 Nome, AK
1072 1128 1256 Orchard Park, NY
2956 1733 116598 Newburgh, NY
1759 2775 78191 Woodland Hills, CA
2572 2252 97872 Mansfield, MA
1417 1015 60214 Torrance, CA
373 2139 117508 Durban, South Africa
640 1200 111173 Benson, AZ
1357 1245 57937 Den Haag, Netherlands
190 1779 72351 Monsey, NY
2644 504 188580 Wichita Falls, TX
2301 478 99087 Oporto/Porto, Portugal
879 2900 58005 Port Clinton, OH
910 1169 126803 Prescott, AZ
608 2412 115021 Yokohama, Japan
2098 1192 108703 Oceanside, CA
508 1187 129430 Williamston, NC
1503 1426 188294 Bangkok, Thailand
1250 1257 47742 Middlesbrough, England
834 2950 79122 Orense, Spain
2227 2581 124519 Tupelo, MS
2274 697 29464 Le Grand, CA
2071 1397 163188 Schererville, IN
1374 2743 29158 Chantilly, VA
241 2790 60047 Pleasanton, CA
2662 2629 121704 Faro, Portugal
90 899 145630 Rittman, OH
1884 893 44917 Batesville, AR
1030 531 1799 Aurora, IL
222 2399 10398 Beijing, China
1792 385 38817 Cologne, Germany Colombo, Sri Lanka
705 1842 58470 Gullivare, Sweden
2619 1561 24469 Nantucket, MA
1751 390 127364 Harrisville, OH
