2002 955 117166 Aachen, Germany
2096 1064 36411 Prince Albert, SSK, Canada
2239 1935 122709 Prince Frederick, MD
276 2949 146544 Prince George, Canada
18 104 153544 Princeton, IL
2471 1013 31431 Princeton, NJ
1373 2585 104337 Princeton, WV
159 168 132819 Prior Lake, MN
1968 198 123354 Proctor, VT
1890 580 156559 Providence, RI
913 2884 185756 Provo, UT
2934 1979 56647 Pueblo, CO
480 1218 185583 Puerto de la Cruz, Tenerife/Spain
2321 1493 182131 Puerto Pelasco, Mexico
1519 1511 189004 Puerto Vallarta, Mexico
822 981 56511 Pullman, WA
1294 2353 28793 Pune (Poona), India
2859 2512 39946 Punta Gorda, FL
1851 1480 53120 Punxutawney, PA
701 369 91731 Purcellville, VA
50 1281 83949 Pusan, South Korea
2836 1215 15846 Putnam Valley, NY
686 1694 96994 Putte, Netherlands
469 1015 196509 Quakertown, PA
201 2533 97187 Quebec, Canada
36 355 162550 Queens, NY
884 1648 119398 Queenstown, New Zealand
1316 1506 86831 Quincy, IL
1915 357 185433 Quito, Ecuador
2712 1057 9992 Ras al-Khaimah, U.A.E.
1088 1107 95353 Rabat, Malta
2347 942 176288 Racine, WI
2585 1627 89207 Radlett, England
1040 2096 156819 Rahway, NJ
987 2297 125666 Rajahmundry, Pradesh, India
2445 2333 149293 Raleigh, NC
1883 216 59128 Ralph, AK
674 1532 159509 Ramat-gan, Israel
1977 447 183253 Ramstein, GermanyRancagua, Chile
1758 158 53714 Rancho Cucamonga, CA
1908 1245 127452 Rancho Palos Verdes, CA
338 592 190222 Rancho Santa Margarita, CA
2983 176 98668 Rangoon, Myanmar
1321 1216 38376 Rapid City, SD
673 2202 191474 Rastede, Germany
2558 1647 146966 Rawlinna, W.Australia
1797 530 161364 Raymond, NH
2684 1204 63459 Reading, England
2077 180 93198 Reading, PA
1826 1938 103699 Recife, Brazil
2632 845 186694 Recklinghausen, Germany
1543 1183 26131 Rector, AR
1397 1166 37854 Red Bank, NJ
2877 2486 118857 Red Bluff, CA
452 159 65649 Redding, CA
324 2716 175416 Redding, CT
2529 1513 10708 Redlands, CA
1949 1197 90923 Redmond, OR
2901 274 102890 Redmond, WA
1299 2099 32044 Red Wing, MN
2855 1730 88375 Redwood City, CA
2655 273 167235 Reedsburg, WI
47 1669 44911 Reedsville, PA
615 1545 10609 Reelsville, IN
2398 1997 21149 Regensburg, Germany
382 2321 2194 Reggio nell'Emilia, Italy
14 1849 103039 Regina, SK, Canada
174 798 182810 Rehovot, Israel
1538 698 1016 Reidsville, NC
81 1997 140909 Reinbeck, IA
562 1851 56202 Rennes, France
1888 1506 74347 Reno, NV
1396 1552 185567 Reston, VA
2070 2166 88527 Reutlingen, Germany
2229 1563 21605 Reykjavik, Iceland
2546 1945 176272 Rheda-Wdbrck, Germany
2579 1958 99495 Ribeiro Preto, Brazil
1125 2132 152636 Richfield, UT
867 669 199155 Richland, WA
882 750 132248 Richmond, BC, Canada
2996 1312 55615 Richmond, IL
839 199 155949 Richmond, IN
1954 1595 59381 Richmond, VA
1737 664 3763 Richmond Heights, OH
65 2892 107953 Richmond Hill, ON, Canada
389 2438 37598 Ridge, NY
33 2017 168114 Ridgecrest, CA
1526 141 110208 Ridgewood, NJ
815 1007 154803 Rieti, Italy
803 1889 4789 Riga, Latvia
2786 1884 92210 Rimouski, QU, Canada
621 2722 105439 Rindge, NH
2960 1675 11712 Ringwood, NJ
851 412 55938 Rio Claro, SP, Brazil
907 477 48727 Rio de Janeiro, Brazil
2526 866 11226 Riom, France
90 899 145630 Rittman, OH
2612 2424 154976 River Edge, NJ
1265 239 22076 Riverside, CA
587 1041 147945 Riverton, WY
659 827 73490 Riyadh, Saudi Arabia
2042 1447 54912 Rize, Turkey
624 1406 166559 Road Town, Brit.VirginIslds.
799 2256 193997 Roanoke, TX
1638 163 25753 Roanoke, VA
2369 2688 83430 Robinson, IL
2538 2778 143301 Rochelle Park, NJ
1722 2390 104859 Rochester, IN
1047 654 120741 Rochester, MN
1378 1241 190100 Rochester, NH
597 1899 45184 Rochester, NY
1699 941 141607 Rochester Hills, MI
2523 1564 35318 Rock Springs, WY
2021 2363 185698 Rockaway, NJ
1931 1000 196508 Rockford, IL
2318 369 175703 Rockhampton, Australia
569 2906 160879 Rockingham, NC
2719 1628 120149 Rocklin, CA
1291 2674 163722 Rockport, MA
103 1051 46399 Rockwall, TX
2954 1648 172971 Rocky Mount, NC
632 347 35646 Rodgau, Germany
2756 2869 139864 Rogers, AR
286 1890 97334 Rolla, MO
71 821 163996 Rolling Prairie, IN
19 138 188574 Rome, GA
2654 707 182294 Rome, Italy
2067 425 90786 Rome, NY
870 1716 69024 Romeo, MI
326 1818 139086 Roosendaal, Netherlands
1021 1771 48914 Roselle, IL
616 2403 71999 Rosendale, WI
1151 2158 63252 Roseville, CA
249 2443 189232 Roslyn, WA
1709 2514 43936 Rosman, NC
1169 2532 53116 Rostov-na-Donu, Russia
997 2186 100201 Roswell, GA
732 1253 128493 Roswell, NM
2093 2122 42849 Rotorua, New Zealand
129 2447 164011 Rotterdam, Netherlands
2215 468 82077 Rouen, France
2949 1084 42231 Round Lake Beach, IL
1029 2234 186080 Rowley, MA
1977 2482 148941 Roy, UT
1816 1190 116511 Roy, WA
2475 2359 85299 Royan, France
272 355 31005 Roznov p/R, Czech Republic
1775 1086 114509 Rugeley, England
702 179 55958 Ruidoso, NM
1345 308 19075 Running Springs, CA
805 2522 50258 Russell, KS
2036 2470 122477 Russellville, AR
2670 499 71379 Ruston, LA
2461 2476 36827 Rutland, VT
1695 1291 116154 Saarbrucken, Germany
443 765 73356 Sabadell, Spain
1722 1037 97005 Sabinal, TX
2187 2811 169397 Saco, ME
905 513 181315 Sacramento, CA
1744 1857 1784 Saginaw, MI
2030 2661 169889 Sahagn, Spain
2784 1697 134543 Saint Albans, England
1621 1366 167745 Saint Andrews, Scotland, UK
2692 827 132746 Saint Augustine, FL
244 2521 18778 Saint Catherines, ON, Canada
1987 2963 69777 Saint Charles, MI
87 1685 138858 Saint Cloud, MN
1542 871 126222 Saint Croix, US Virgin Islands
1083 1775 160362 Saint Gallen, Switzerland
803 519 84126 Saint George, UT
829 2549 61524 Saint George's, Grenada
378 2332 174633 Saint Helier, England
2396 953 65683 Saint Jerome, QU, Canada
1912 645 120754 Saint John, NB, Canada
903 888 88786 Saint John's, Antigua
1185 2874 86290 Saint John's, NF, Canada
2232 2961 198564 Saint Joseph, MI
1314 1502 56614 Saint Louis, MO
208 2585 174946 Saint Louis, MS
2613 387 9519 Saint Lucie, FL
875 1216 179407 Saint Marys, PA
1798 1593 134868 Saint Paul, MN
1417 989 198377 Saint Peterburg, Russia
2403 2900 41315 Saint Petersburg, FL
1214 803 100507 Saint Polycarpe, QU, Canada
2546 1987 92106 Saint Simons Island, GA
840 1219 89469 Saint-Constant, QU, Canada
818 2532 189600 Sale, VC, Australia
1668 2740 161894 Salem, IL
1292 2352 187669 Salem, IN
1435 227 68706 Salem, MA
1126 2024 174895 Salem, NH
149 441 40778 Salem, OH
124 2843 34100 Salem, OR
744 1057 87604 Salford, England
2252 602 20069 Salida, CO
633 1441 101270 Salina, KS
1975 2259 70064 Salinas, CA
1819 926 52674 Salisbury, CT
1248 2218 9459 Salisbury, England
1063 652 24547 Salisbury, MD
2093 1777 159459 Salt Lake City, UT
1717 1925 188830 Saltillo, Mexico
2328 2049 178340 Salvador, Brazil
2840 2793 48743 Samarate, Italy
1154 2044 88825 San Andreas, CA
1455 2677 184874 San Angelo, TX
2974 1652 135454 San Antonio, TX
1025 470 197179 San Bernardino, CA
1815 1718 144993 San Clemente, CA
1957 2780 188414 San Diego, CA
2325 1873 106851 San Fernando, CA
1717 589 35168 San Francisco, CA
1549 2917 171745 San Jacinto, CA
1225 2756 157894 San Jose, CA
1956 909 94123 San Jose, Antique, Philippines
288 2364 72538 San Jose, Costa Rica
61 2337 182606 San Juan, PR
2093 362 13926 San Juan Capistrano, CA
2051 2176 128394 San Luis Obispo, CA
1226 1133 113676 San Luis Potos, Mexico
1052 458 38479 San Marcos, CA
2654 2174 77697 San Marcos, TX
182 723 72108 San Pedro Sula, Honduras
2758 1947 55812 San Salvador, El Salvador
2127 902 116411 San'a', Yemen
538 1190 73973 Sanborn, NY
1626 1250 29770 Sandefjord, Norway
1366 343 53863 Sanderson, TX
1574 2393 198926 Sandersville, GA
500 618 74419 Sandusky, OH
2205 1669 104886 Sandviken, Sweden
2783 1323 49788 Santa Ana, CA
948 1505 97952 Santa Barbara, CA
2030 1262 27719 Santa Clarita, CA
2867 388 87831 Santa Cruz, CA
1613 926 167113 Santa Fe, NM
2723 2552 50438 Santa Fe de Bogota, Colombia
169 917 73261 Santa Luca, Uruguay
977 2491 32759 Santa Maria, Brazil
961 2991 73925 Santa Maria, CA
2077 2196 185173 Santa Marta, Colombia
651 1978 73352 Santa Rita do Sapuca, Brazil
1397 2926 173631 Santa Rosa, CA
2867 1955 57754 Santander, Spain
282 1821 83614 Santiago, Chile
1600 434 145336 Santiago deComp., Spain
1107 156 115455 Santiago de Queretaro, Mexico
1863 325 176577 Santo Domingo, Dominican Republic
2962 1301 142628 Santos, Brazil
453 2262 142001 Satiledo Luiacutes, Brazil
1562 1339 88372 San Mateus, E.S., Brazil
1340 1989 20220 Sao Paulo, Brazil
2440 386 15242 Sapporo, Japan
2045 252 145545 Sarajevo, Bosnia
2911 534 66941 Sarasota, FL
1165 2133 95840 Saratoga Springs, NY
345 239 106215 Sarnia, ONT, Canada
2077 2102 127834 Saronno, Italy
1726 2063 14561 Saskatoon, Canada
865 2516 165321 Sao Bartolomeu deM., Portugal
2995 1078 54531 Sault Ste. Marie, Canada
1321 2417 187079 Sault Ste. Marie, MI
1624 1857 12751 Saundersfoot, Wales, England
1853 901 29499 Savannah, GA
1036 811 65042 Scarborough, England
2040 1976 7208 Schaumburg, IL
477 2321 23111 Schenectady, NY
2071 1397 163188 Schererville, IN
988 122 100700 Schertz, TX
1207 987 68406 Schiedam, Netherlands
686 981 140230 Schleswig, Germany
1504 2301 101345 Schroon Lake, NY
1310 925 25102 Schwelm, Germany
1502 2777 85132 Scottsdale, AZ
1944 812 139188 Scranton, PA
2920 2851 70884 Scunthorpe, England
28 328 25556 Seal Beach, CA
375 2398 118657 Searcy, AR
2822 386 126764 Seattle, WA
1333 1592 192506 Sebastian, FL
2359 2278 57881 Sebastopol, CA
1462 781 11263 Sebring, FL
2983 2091 72871 Sedalia, MO
359 592 57946 Sedona, AZ
1636 2536 112033 Selayang, Malaysia
724 2456 102073 Selden, NY
1787 2483 123905 Sendai, Japan
2171 2857 83743 Seneca, SC
950 2679 109422 Seneca Falls, NY
2852 1011 15501 Seneca Rocks, WV
2739 370 167302 Senftenberg, Germany
608 1832 19355 Seoul, South Korea
777 1814 158739 Sequim, WA
1870 2173 198205 Setbal, Portugal
2739 808 167251 Seven Mile, OH
1419 1532 130920 Sevilla, Spain
2950 318 96418 Sewanee, TN
1809 2488 86857 Shallowater, TX
65 438 65423 Shanghai, China
1706 289 132817 Sheboygan, WI
1939 28 157445 Sheffield, England
1448 635 79535 Shelby, NC
1739 1411 74622 Shelbyville, TN
281 2179 72826 Shepparton, Australia
19 2987 40077 Sherbrooke, Canada
1438 1518 170996 Sheridan, WY
1388 1836 67414 Shimane, Japan
196 1324 154270 Shippensburg, PA
261 1761 19693 Shreveport, LA
1966 2050 152509 Shrewsbury, MA
905 2078 109954 Shullsburg, WI
2353 2713 189488 Sidney, MT
1091 1124 189920 Sidney, BC, Canada
2210 1404 135159 Siegen, Germany
303 1422 134245 Sierra Vista, AZ
904 2860 35406 Siloam Springs, AR
469 1247 157755 Silver City, NM
1480 1442 45958 Silver Spring, MD
794 1702 163338 Simcoe, Canada
1089 668 99984 Simla, CO
377 1572 38487 Simrishamn, Sweden
2026 924 19320 Singapore
1869 2015 94219 Sintra, Portugal
1717 1225 187791 Sioux Center, IA
745 1527 82587 Sioux City, IA
2758 2430 73194 Sioux Falls, SD
290 2898 156269 Skagway, AK
2656 1378 52374 Skien, Norway
345 2171 165812 Skive, Denmark
2795 260 10311 Skopje, Macedonia
1295 637 115096 Skowhegan, ME
1872 2663 176696 Sleaford, England
2162 1531 110993 Slidell, LA
575 248 192609 Sliema, Malta
392 992 94369 Slippery Rock, PA
1631 750 56349 Slough, England
2729 1039 49545 Smith Center, KS
2073 694 141370 Smyrna, TN
2859 1039 86096 Snellville, GA
2346 834 103412 Snyder, TX
2500 2128 145829 Sochaczew, Poland
1227 1000 123300 Socorro, NM
877 162 25312 Sofia, Bulgaria
2542 737 41785 Soham, England
2431 1129 107878 Soldotna, AK
847 2759 157836 Solihull, England
1692 2488 27063 Solingen, Germany
2435 1560 73315 Solothurn, Switzerland
1556 1418 142549 Solvang, CA
2847 764 198102 Sombor, Yugoslavia
1398 264 139959 Somers, CT
586 1490 6606 Somerset, KY
2435 2367 17362 Somersworth, NH
2815 1908 66448 Sonderborg, Denmark
442 1339 141652 Songkhla, Thailand
2060 2186 125561 Sonoma, CA
1427 877 91371 Soperton, GA
1833 312 195349 Sorel, QU, Canada
2933 1867 89867 South Amboy, NJ
2071 1714 140739 South Bend, IN
2043 112 158274 South Hadley, MA
1142 697 57569 South Hill, VA
1241 132 15320 South Lake Tahoe, CA
1502 2947 142518 South Pittsburg, TN
2498 388 31773 South Plainfield, NJ
1623 2447 177453 Southampton, England
507 874 35905 Southern Cross, W.Australia
1877 2707 56675 Southfield, MA
1807 2640 181132 Southfield, MI
155 1711 95371 Southington, CT
2267 753 102805 Southold, NY
1641 1895 149261 Sparta, WI
2504 136 158039 Spartanburg, SC
2734 1637 154452 Spencer, IA
1872 1135 180285 Spiro, OK
2348 2758 143414 Split, Croatia
2010 264 1675 Spokane, WA
2549 2141 182130 Springdale, AR
399 948 158095 Springerville, AZ
116 1103 72118 Springfield, IL
1546 369 122300 Springfield, MA
88 2009 48600 Springfield, MO
2327 1512 57623 Springfield, OH
1698 1246 166732 Springfield, VA
1015 117 42373 Spring Hill, FL
719 2465 26198 Springs, NY
2870 1474 43767 Spring Valley, NY
2895 1023 186451 Spruce Pine, NC
2627 1421 49598 St. Charles, IL
1999 1536 123075 St. Charles, MO
80 82 147620 St. Clair, MI
1915 170 81506 St-Georges de Beauce, QU, Canada
2644 2497 182302 St. Helens, England
508 1194 65328 St. Peter, MN
9 2208 73100 Stadskanaal, Netherlands
645 2926 37392 Stafford, VA
1038 2796 135656 Stamford, CT
1694 2691 3797 Stanford, CA
1491 2317 98489 Stanford, KY
2235 1315 72036 Starkville, MS
1395 95 19655 State College, PA
310 264 101160 Staten Island, NY
2953 2760 83461 Statesboro, GA
461 954 148788 Statesville, NC
469 161 21888 Staunton, VA
1113 87 59280 Stavanger, Norway
2151 2883 194935 Stayton, OR
844 2573 198732 Steenwijk, Netherlands
2335 1890 97220 Steilacoom, WA
1569 205 98083 Stellenbosch, South Africa
2650 1600 104375 Stephentown, NY
2944 1909 121955 Ste. Rose du Lac, MN, Canada
1462 1861 105939 Ste. Rose, Family Reunion
2714 2321 169485 Stevenage, England
1946 2790 180203 Stevens Point, WI
2274 903 185984 Stewartsville, NJ
163 53 178135 Stillwater, OK
87 897 149636 Stirling, Scotland, UK
68 231 75598 Stockholm, Sweden
1526 1800 89225 Stockton, CA
2998 1449 195840 Stockton, KS
1563 1393 123065 Stoke-on-Trent, England
393 2854 47121 Stone Mountain, GA
1982 2568 1850 Stoneville, NC
1524 1513 187827 Storrs, CT
1227 786 48000 Strasbourg, France
1017 949 51515 Stratford, CT
689 1035 111281 Stratford, ON, Canada
2933 1103 126664 Stratford, TX
1067 2629 46622 Stratford Upon Avon, England
2406 2626 143191 Streamwood, IL
2343 1189 36027 Struer, Denmark
1189 1581 26287 Stuart, FL
1896 562 197433 Sturgis, KY
1924 2085 98253 Stuttgart, Germany
1741 312 150634 Sudbury, Canada
2461 1328 13856 Sudbury, MA
234 2016 82853 Sukabumi, Indonesia
1903 1949 156357 Sulphur, LA
803 16 131588 Sullivan, MO
1502 2421 106626 Summit, NJ
650 1763 185848 Sumter, SC
1191 2952 91208 Sunbury, Australia
1585 1848 128644 Sundsvall, Sweden
1546 771 67640 Sunnyvale, CA
20 2511 88400 Superior, WI
2280 1972 176907 Surabaya, Indonesia
2487 2205 111294 Surrey, BC, Canada
730 1108 41196 Susanville, CA
76 1910 42212 Susice, Czech Republic
2049 412 3565 Sutton, WV
649 1062 121095 Suva, Fiji Islands
436 2252 117869 S-Volvoland, Norway
1805 836 41005 Swansboro, NC
734 2382 92353 Swansea, Wales, UK
1749 2401 59739 Swindon, England
75 1680 191165 Sydney, Australia
2728 1167 138143 Sydney, NS, Canada
1398 1897 11955 Sylva, NC
2016 1972 139263 Syracuse, NY
2649 1021 166690 Szczecin, Poland
2702 1669 37425 Szeged, Hungary
1519 2105 187496 Szkesfehrvr, Hungary
287 909 43188 Szekszrd, Hungary
902 1643 1934 Tabuk, Saudi Arabia
2287 391 161986 Tacoma, WA
183 466 73978 Tahoe City, CA
51 194 151765 Taipei, Taiwan
2123 1591 78200 Tainan, Taiwan
2302 606 9640 Talala, OK
1391 255 77671 Tallahassee, FL
891 2957 188920 Talavera de la Reina, Spain
1453 1475 129234 Tallinn, Estonia
1265 1761 189821 Taman Tun Dr. Ismail, Malaysia
1913 2663 99324 Tamarite de Litera, Spain
1942 1949 125382 Tampa, FL
1372 2132 156397 Tampere, Finland
2481 2182 169273 Tampico, Mexico
1758 1305 75305 Tamworth, Australia
2931 606 115687 Tamworth, England
76 1997 132631 Tangier, VA
1241 2888 129701 Taralgon, Australia
1074 1340 27993 Tarboro, NC
13 2605 145373 Tartu, Estonia
2860 1517 122846 Tashkent, Uzbekistan
1350 459 52765 Taunton, Somerset, England
231 1830 194868 Taylors Island, MD
2577 1311 140319 Taylorsville, UT
2116 69 27261 Taylorville, IL
245 2999 67648 Tazewell, VA
1981 74 64643 Tbilisi, Rep. of Georgia
1314 2899 194344 Tegucigalpa, Honduras
2388 1239 22336 Tehachapi, CA
2401 843 167709 Tehran, Iran
2260 2360 90555 Tel Aviv, Israel
610 2819 143319 Temecula, CA
840 1648 138187 Tempe, AZ
417 2959 78505 Temple, TX
2532 28 105766 Temuco, Chile
2777 26 173414 Tepic, Mexico
1757 100 174156 Terespolis, Brazil
2727 1414 167389 Terneuzen, Netherlands
2642 802 49933 Terre Haute, IN
2977 202 106106 Tetbury, England
2492 2462 63410 Texhoma, OK
851 71 51282 The Pas, MN, Canada
3000 911 161144 The Woodlands, TX
2073 1327 158394 Thessaloniki, Greece
251 859 160198 Thetford-Mines, QU, Canada
1837 635 161918 Thomasville, GA
1438 2391 168558 Thomasville, NC
1051 2117 62792 Thompson, MN, Canada
562 1758 116213 Thornbury, ON, Canada
1311 1735 129648 Thousand Oaks, CA
2902 1226 93744 Thun, Switzerland
853 2077 98474 Thunder Bay, Canada
1623 2077 159188 Thurso, Scotland, UK Tianjin, China
1040 1149 47636 Ticonderoga, NY
416 1400 104839 Tiet, Brazil
2819 236 147123 Tiffin, OH
2247 1674 106499 Tilburg, Netherlands
1776 2725 47611 Timisoara, Romania
2718 286 164801 Timmins, ONT, Canada
1461 1596 80407 Tinley Park, IL
405 1498 162135 Tirana, Albania
1812 2350 100541 Titusville, FL
289 973 38942 Tiverton, RI
2677 2012 115525 Tokyo, Japan
391 2427 8795 Toledo, OH
1964 2245 24518 Toledo, Spain
1170 1492 136105 Tolland, CT
2768 267 117714 Tolna, Hungary
482 2984 136731 Tomar, Portugal
2954 1444 43091 Toms River, NJ
1160 1849 142898 Toowoomba, QLD, Australia
592 661 99563 Topeka, KS
2100 949 164367 Torhout, Belgium
2684 625 98453 Toronto, Canada
1417 1015 60214 Torrance, CA
1549 2979 9848 Torrelavega, Spain
1917 1149 109273 Torremolinos, Spain
959 916 127045 Torrington, CT
2724 1398 125956 Toulon, France
1775 1351 22218 Toulon, IL
2422 2511 145479 Toulouse, France
1565 103 189482 Tours, France
59 2203 52700 Tower, MN
2524 1887 94320 Tower Hill, IL
1001 303 161979 Townsend, MA
1904 1852 160515 Townsville, Australia
2052 769 37050 Traverse City, MI
691 1727 98084 Trento, Italy
2596 1451 191226 Trenton, NJ
1486 225 81278 Tres Pontas, Brazil
1819 2646 48645 Trevor, WI
1001 1211 55462 Trieste, Italy
843 1269 2269 Trollhattan, Sweden
1634 793 128008 Trondheim, Norway
49 1793 148204 Trostberg, Germany
2478 696 71651 Trout River, NFL, Canada
1886 2748 122866 Troy, MI
2442 438 37954 Troy, NC
913 34 134629 Truckee, CA
782 1519 149621 Trujillo, Peru
2001 338 126021 Truro, CWL, England
2730 1338 6727 Tubingen, Germany
562 2181 91300 Tucson, AZ
596 815 144108 Tullamore, Ireland
2516 863 63601 Tulsa, OK
1739 341 109995 Tulu, Colombia
2814 2227 93135 Tunis, Tunisia
1657 1668 122295 Tunkhannock, PA
2227 2581 124519 Tupelo, MS
1246 362 25761 Turin/Torino, Italy
490 2362 48239 Turku, Finland
2381 2092 137433 Turners Falls, MA
2481 2653 82823 Turnov, Czech Republic
851 249 137109 Tuscaloosa, AL
13 2765 194611 Tuscumbia, AL
967 1504 17307 Tuxtla Gutirrez, Mexico
2616 1318 165712 Tuzla, Bosnia
1013 2974 76876 Tver' (Kalinin), Russia
2848 2200 48882 Tweed Heads, Australia
1716 446 72956 Twin Falls, ID
2102 936 30374 Tybee Island, GA
2826 316 169781 Tylden, Australia
1887 2797 146638 Tyler, TX
129 647 163214 Tyngsboro, MA
2186 659 147517 Uist Islands, Scotland/England
2105 1625 47750 Ukiah, CA
2365 1241 135565 Ulm, Germany
1851 2254 133825 Ume, Sweden
4 2101 80485 Union City, CA
737 817 110174 Union City, TN
1831 2918 172513 Upice, Czech Republic
2287 2743 193521 Uppsala, Sweden
1834 1630 179925 Usolje-Sibirskoie, Russia
1033 1759 23025 Usti nad Labem, Czech Republic
481 945 66928 Ustica Island, Italy
2694 49 175235 Utica, NY
410 2414 57940 Utrecht, Netherlands
2444 1264 8178 Uxbridge, England
1451 1267 148243 Vacaville, CA
2658 2003 2654 Vads, Norway
1311 834 197171 Valaske Mezirici, Czech Republic
899 120 180032 Valdosta, GA
801 1953 88670 Valencia, CA
500 2986 5908 Valencia, Spain
846 467 68853 Valencia, Venezuela
1850 160 72117 Valladolid, Spain
1478 570 33004 Vallejo, CA
2347 13 117227 Valletta, Malta
2470 1464 1661 Valognes, France
1694 1122 135188 Valparaiso, Chile
1733 2432 190762 Valparaiso, IN
1691 331 198758 Vancouver, Canada
1391 1132 128955 Vancouver, WA
2721 1632 127993 Vanderbijlpark, South Africa
2810 2477 159083 Veronimo!, Sweden
843 1326 169744 Vsters, Sweden
1925 2804 7724 Vejle, Denmark
2420 2150 8589 Venice, Italy
1178 1620 106161 Venice, FL
1203 313 180927 Ventura, CA
231 2046 143060 Veracruz, Mexico
92 736 165071 Vermillion, SD
74 2127 40481 Vernon, BC, Canada
2008 1848 149215 Vernon, CT
928 1658 114297 Vernon, France
314 2500 2655 Vernon, NJ
2860 1424 189524 Versailles, KY
2976 843 132842 Veseli nad Moravou, Czech Rep.
105 2021 40789 Vici, OK
1697 223 61607 Vicksburg, MS
1411 453 197949 Victoria, TX
557 545 46987 Victoria, BC, Canada
33 618 188752 Victorville, CA
640 2626 111914 Vidalia, GA
2879 553 22381 Vienna, Austria
1593 866 189006 Vila Velha, ES, Brazil
1633 726 83905 Villata, Italy
1476 701 140080 Villahermosa, Mexico
468 806 74760 Villingen-Schwenningen, Germany
1080 2502 89604 Vilnius, Lithuania
2004 913 119799 Vinton, IA
1973 1470 156107 Virginia, MN
2678 1502 197285 Virginia Beach, VA
2509 2142 172287 Vinkovci, Croatia
1188 2020 9107 Visalia, CA
1524 612 66826 Visby, Gotld., Sweden
1359 2245 115188 Vista, CA
2618 720 161916 Vitoria, Spain
1719 1188 15599 Vladivostok, Russia
2840 2267 182397 Vecklabruck, Austria
1184 1271 43238 Vysokov, Czech Republic
2981 244 141181 Wabash, IN
2323 2921 41295 Waco, TX
2282 2430 184062 Waddington, NY
1866 618 118696 Wagin, W.Australia
2003 2141 159492 Wagga Wagga, NSW, Australia
5 500 109106 Waidhofen/Thaya, Austria
1733 117 157061 Wailuku, Maui, HI
1162 1835 36198 Waldwick, NJ
1396 1675 187306 Wall, SD
1132 2858 71991 Walla Walla, WA
1780 2839 88203 Walldorf, Germany
898 2161 82926 Walled Lake, MI
1517 1443 44913 Waller, TX
1278 308 86077 Wallingford, CT
59 2311 28800 Walnut Creek, CA
2451 2316 62086 Walsall, England
1088 1048 69841 Walvis Bay, Namibia, Africa
444 2210 192144 Wanganui, New Zealand
987 605 103755 Wantagh, NY
796 1736 94276 Wappingers Falls, NY
1876 516 83505 Warburton, Australia
199 1413 27551 Warminster, PA
1443 2930 123695 Warner Robins, GA
2117 1208 144226 Warren, MI
408 1266 98250 Warren, NH
840 717 52592 Warren, NJ
1771 1804 122440 Warren, OH
2819 2247 69707 Warren, PA
2701 233 109993 Warrensburg, MO
1257 1029 25693 Warrnambool, V, Australia
2671 2904 60047 Warroad, MN
924 103 154232 Warsaw, IN
1337 1545 149545 Warsaw, Poland
193 662 30047 Wartburg, TN
2356 1069 114432 Warwick, England
830 1908 162193 Washington, DC
1619 679 82435 Washington, KS
455 497 32217 Washington, IL
1501 197 47739 Washington, MO
151 1454 116304 Washington, NJ
536 1125 109903 Waterbury, CT
1437 2048 116740 Waterdown, ON, Canada
750 384 19738 Waterford, MI
2993 576 63812 Waterford City, Ireland
444 2932 135036 Waterloo, Belgium
2161 761 62212 Waterloo, ON, Canada
1593 2379 107423 Watertown, MA
2830 2834 140513 Watertown, NY
313 1334 153624 Waterville, ME
1029 1484 50510 Watford, England
2774 2019 125447 Watford, ON, Canada
1422 456 61939 Watonga, OK
173 1205 87536 Watrous, Canada
469 1198 125934 Waupun, WI
1427 1642 121358 Wausau, WI
452 802 172058 Wauwatosa, WI
1385 2394 130626 Waverly, NY
2997 2224 119502 Wawa, ON, Canada
2104 2537 8391 Waxahachie, TX
1409 565 107285 Wayne, NJ
2166 339 41879 Waynesboro, PA
1048 1760 72217 Waynesville, OH
1977 1933 152532 Weatherford, OK
290 2402 32368 Weehawken, NJ
2179 828 141773 Weinheim, Germany
1000 1280 195178 Wellborn, FL
580 2665 154776 Wellfleet, MA
2540 2661 103001 Wellington, KS
1332 1765 72070 Wellington, New Zealand
1458 173 109721 Wells, England
67 2339 132257 Wenatchee, WA
696 387 49581 Wendell, NC
1779 2363 178432 Wervik, Belgium
1067 2653 138548 West Chester, PA
1552 1831 193739 West Fargo, ND
679 2830 79041 West Hempstead, NY
607 410 56666 West Lafayette, IN
2928 2950 34037 West Long Branch, NJ
1473 1281 151665 West Milford, NJ
2554 2739 163175 West Monroe, LA
1200 2806 119075 West Palm Beach, FL
184 501 144812 West Plains, MO
928 2279 102323 West Point, GA
604 346 79145 West Sand Lake, NY
2682 1898 1211 West Springfield, PA
2588 2576 189877 Westby, WI
774 182 17203 Westfield, NJ
1624 110 13812 Westlock, AL, Canada
2135 1582 99208 Westminster, CA
1410 1136 81780 Westminster, CO
857 2336 68813 Westport, IN
2643 2519 102185 Westport, Ireland
1815 446 54112 Westover, PA
350 1050 77126 Westville, IN
1537 732 3594 Wetumpka, AL
1556 320 175289 Wewoka, OK
1404 1093 187389 Weyauwega, WI
1662 2717 194668 Weymouth, MA
1869 1851 100127 Whakatane, New Zealand
357 260 175838 Wheaton, IL
1584 1116 131519 Wheat Ridge, CO
2616 759 99428 Wheeling, WV
1149 2574 129145 Whitby, Canada
1960 2924 199104 Whitby, England
117 1460 47849 White Lake, MI
171 16 69120 White Plains, NY
2800 1419 141958 Whitehorse, Canada
2611 80 123028 Whitefish, MT
